"91,0%","","","","","València",""
"","","","","","Málaga",""
"","","","","","Murcia","17.794"
"","","","","","Sevilla","16.294"
"Transacciones (1-3T)","","","","","",""
"","","","","","Cádiz","11.785"
"Segunda mano","Nueva","","","","",""
"","","","","","Tarragona","11.654"
"2023","","","470.584","","Balears (Illes)","11.133"
"","","","","","Almería","10.921"
"2022","","","","543.754","",""
"","","","","","Girona","10.287"
"","","","","","Granada","10.298"
"2021","","","","481.148","",""
"","","","","","Las Palmas","10.415"
"2020","","327.060","","","",""
"","","","","","Asturias","10.340"
"","","","","","Santa Cruz de Tenerife","9.271"
"2019","","","411.661","","",""
