"","","","Viviendas de obra nueva por capitales de provincia en dic-22","",""
"","","Capital de provincia","Promociones","Viviendas","€/m2/mes"
"","","","","",""
"","","Madrid","12","108","17,90 €"
"","","Sevilla","6","50","10,38 €"
"","","València","4","24","14,61 €"
"","","Barcelona","3","31","19,14 €"
"","","Palma de Mallorca","2","27","15,17 €"
"","","Zaragoza","2","5","16,05 €"
"","","","","",""
"España y provincias","","","","",""
"","","Alicante / Alacant","1","6","46,33 €"
"","","Almería","1","23","9,62 €"
"España","","","","",""
"","","Castellón de la Plana","1","1","12,20 €"
